引数       	上＼下	0	1	2	3
(C+S0)     	7.00; C=100	flag = (0 != ((1 << S0) & f0));	flag = (0 != ((1 << S0) & f1));	flag = (0 != ((1 << S0) & f2));	flag = (0 != ((1 << S0) & f3));
(C+S0)     	7.00; C=101	f5 += 4 * S0;	?	?	?
(C+S0)     	7.00; C=110	f5 -= 4 * S0; 	?	?	?
(C+S0)     	7.00; C=111	f0 = *(f5 + 4 * S0);	f1 = *(f5 + 4 * S0);	f2 = *(f5 + 4 * S0);	f3 = *(f5 + 4 * S0);
(C+S0,L1)  	7.01; C=000	L1 <<= S0;	?	?	?	
(C+S0,L1)  	7.01; C=001	L1 >>>= S0;	?	?	?
(C+S0,L1)  	7.01; C=010	L1 >>= S0;	?	?	?	
(C+S0,L1)  	7.01; C=011	flag = (0 == ((1 << S0) & L1));	?	?	?
(C+S0,L1)  	7.01; C=100	flag = (0 != ((1 << S0) & L1));	?	?	?
(C+S0,V1)  	7.01; C=101	*(f5 + 4 * S0) = f0;	*(f5 + 4 * S0) = f1;	*(f5 + 4 * S0) = f2;	*(f5 + 4 * S0) = f3;
(C+S0,V1)  	7.01; C=110	*(f5 + 4 * S0) = V1;	?	?	?
(C+S0,B1)  	7.01; C=111	?	?	?	?
(V0,V1)    	7.1	flag = (uint32_t)V0 >= (uint32_t)V1;	flag = (uint32_t)V0 < (uint32_t)V1;	flag = (V0 == V1);	flag = (V0 != V1);	flag = (int32_t)V0 >= (int32_t)V1;	flag = (int32_t)V0 < (int32_t)V1;	flag = (0 == (V0 & V1));	flag = (0 != (V0 & V1));
(V0)       	8.00	f0 += V0;	f1 += V0;	f2 += V0;	f3 += V0;
(V0)       	8.01	f0 -= V0;	f1 -= V0;	f2 -= V0;	f3 -= V0;
(V0)       	8.10	lat V0 f0 f0	lat V0 f1 f1	lat V0 f2 f2	lat V0 f3 f3
(V0)       	8.11	f0 &= V0;	f1 &= V0;	f2 &= V0;	f3 &= V0;
(V0)       	9.00	f0 |= V0;	f1 |= V0;	f2 |= V0;	f3 |= V0;
(V0)       	9.01	f0 = ~(f0 ^ V0);	f1 = ~(f1 ^ V0);	f2 = ~(f2 ^ V0);	f3 = ~(f3 ^ V0);
(V0)       	9.10	f0 <<= V0;	f1 <<= V0;	f2 <<= V0;	f3 <<= V0
(V0)       	9.11	f0 >>>= V0;	f1 >>>= V0;	f2 >>>= V0;	f3 >>>= V0
(V0)       	A.00	f0 >>= V0;	f1 >>= V0;	f2 >>= V0;	f3 >>= V0
(V0)       	A.01	f0 = V0;	f1 = V0;	f2 = V0;	f3 = V0;
(V0)       	A.10	if (flag) f0 = V0;	if (flag) f1 = V0;	if (flag) f2 = V0;	if (flag) f3 = V0;
(L0)       	A.11	(f0, L0) = (L0, f0);	(f1, L0) = (L0, f1);	(f2, L0) = (L0, f2);	(f3, L0) = (L0, f3);
(V0)       	B.00	f0 = V0 >> 24;	f1 = V0 >> 24;	f2 = V0 >> 24;	f3 = V0 >> 24;	
(V0)       	B.01	f0 = (f0 & 0x00ffffff) | (V0 << 24);	f1 = (f1 & 0x00ffffff) | (V0 << 24);	f2 = (f2 & 0x00ffffff) | (V0 << 24);	f3 = (f3 & 0x00ffffff) | (V0 << 24);	
(V0)       	B.10	f0 = V0 >> 16;	f1 = V0 >> 16;	f2 = V0 >> 16;	f3 = V0 >> 16;
(V0)       	B.11	f0 = (f0 & 0x0000ffff) | (V0 << 16);	f1 = (f1 & 0x0000ffff) | (V0 << 16);	f2 = (f2 & 0x0000ffff) | (V0 << 16);	f3 = (f3 & 0x0000ffff) | (V0 << 16);
(V0,L1)    	C.00	L1 += V0;	?	?	?
(V0,L1)    	C.01	L1 -= V0;	?	?	?
(V0,L1)    	C.10	lat V0 L1 L1	?	?	?
(V0,L1)    	C.11	L1 &= V0;	?	?	?
(V0,L1)    	D.00	L1 |= V0;	?	?	?
(V0,L1)    	D.01	L1 = ~(L1 ^ V0);	?	?	?
(V0,L1)    	D.10	L1 <<= V0;	?	?	?
(V0,L1)    	D.11	L1 >>>= V0;	?	?	?
(V0,L1)    	E.00	L1 >>= V0;	?	?	?
(V0,L1)    	E.01	L1 = V0;	?	?	?
(V0,L1)    	E.10	if (flag) L1 = V0;	?	?	?
(L0,L1)    	E.11	(L1, L0) = (L0, L1);	?	?	?
(V0,L1)    	F.00	L1 = V0 >> 24;	?	?	?	
(V0,L1)    	F.01	L1 = (L1 & 0x00ffffff) | (V0 << 24);	?	?	?
(V0,L1)    	F.10	L1 = V0 >> 16;	?	?	?
(V0,L1)    	F.11	L1 = (L1 & 0x0000ffff) | (V0 << 16);	?	?	?
